ticker,region,vol_regime
AAL.L,europe,elevada
ADS.DE,europe,elevada
ADYEN.AS,europe,elevada
AENA.MC,europe,normal
APD,us,normal
ASM.AS,europe,alta
BARC.L,europe,normal
BAS.DE,europe,baja
CAT,us,elevada
CSX,us,normal
DAL,us,normal
DE,us,alta
DG.PA,europe,normal
DSY.PA,europe,elevada
DTE.DE,europe,alta
DUK,us,elevada
ECL,us,normal
ENGI.PA,europe,normal
EOAN.DE,europe,alta
EQIX,us,elevada
FDX,us,normal
FER.MC,europe,normal
FISV,us,
G.MI,europe,baja
HEIA.AS,europe,normal
HON,us,elevada
HUM,us,baja
JPM,us,normal
LOW,us,normal
MA,us,normal
MC.PA,europe,normal
META,us,elevada
NESN.SW,europe,elevada
NSC,us,normal
O,us,baja
OR.PA,europe,normal
PFE,us,elevada
PGR,us,alta
PLD,us,baja
PRU.L,europe,normal
PSA,us,baja
PUB.PA,europe,normal
REP.MC,europe,elevada
RIO.L,europe,alta
RTX,us,elevada
SAN.MC,europe,baja
SAP.DE,europe,elevada
SHW,us,alta
SU.PA,europe,elevada
TGT,us,alta
ULVR.L,europe,elevada
UNH,us,baja
UPS,us,baja
V,us,normal
VNA.DE,europe,normal
VOD.L,europe,elevada
VRTX,us,elevada
WKL.AS,europe,elevada
ZS,us,elevada
ZURN.SW,europe,normal
