factor,current_points,n_triggered,n_not_triggered,mean_return_triggered_pct,mean_return_not_triggered_pct,mean_difference_pct,t_stat,p_value,permutation_p_value,permutation_p_value_bh,significant_at_1pct,significant_at_1pct_bh,directionally_consistent
trend_up,2,6378,16521,0.812,1.612,-0.8,-6.21,0.0,0.0002,0.00043,True,True,False
trend_down,-3,2469,20430,3.052,1.188,1.864,8.038,0.0,0.0002,0.00043,True,True,False
stage4,-3,5005,17894,1.898,1.247,0.651,3.879,0.00011,0.0002,0.00043,True,True,False
adx_strong_trend,1,4982,17917,0.93,1.517,-0.587,-4.168,3e-05,0.0002,0.00043,True,True,False
market_below_sma200,-2,992,21907,4.12,1.266,2.854,9.243,0.0,0.0002,0.00043,True,True,False
vix_stress,-2,1907,20992,5.377,1.027,4.35,14.004,0.0,0.0002,0.00043,True,True,False
rsi_oversold_bounce,1,454,22445,-1.335,1.444,-2.78,-4.426,1e-05,0.0002,0.00043,True,True,False
stage2,2,11423,11476,1.167,1.611,-0.444,-3.623,0.00029,0.0008,0.0015,True,True,False
atr_parabolic,-2,2467,20432,0.826,1.457,-0.631,-3.539,0.00041,0.0018,0.003,True,True,True
death_cross,-2,298,22601,3.151,1.366,1.785,2.997,0.00295,0.0022,0.0033,True,True,False
obv_bullish,1,1693,21206,0.981,1.422,-0.44,-1.864,0.0624,0.05899,0.08044,False,False,False
rsi_overbought_outside_strong_trend,-1,30,22869,-0.717,1.392,-2.109,-1.346,0.18878,0.21176,0.2647,False,False,True
minervini_range_position,1,11943,10956,1.368,1.413,-0.045,-0.366,0.71428,0.72466,0.83614,False,False,False
golden_cross,1,254,22645,1.269,1.391,-0.122,-0.221,0.82524,0.84143,0.84143,False,False,False
obv_bearish,-2,1966,20933,1.341,1.394,-0.053,-0.255,0.79896,0.80744,0.84143,False,False,True
