factor,current_points,n_triggered,n_not_triggered,mean_return_triggered_pct,mean_return_not_triggered_pct,mean_difference_pct,t_stat,p_value,permutation_p_value,permutation_p_value_bh,significant_at_1pct,significant_at_1pct_bh,directionally_consistent,mean_ic,ic_ir,n_ic_buckets,multivariate_coef_pct,multivariate_p_value
trend_up,2,1016,2646,-0.933,0.357,-1.291,-6.046,0.0,0.0002,0.00087,True,True,False,-0.0324,-0.149,43,-0.9975,0.00055
stage2,2,1757,1905,-0.451,0.415,-0.866,-4.475,1e-05,0.0002,0.00087,True,True,False,-0.0339,-0.159,44,-0.5011,0.0723
adx_strong_trend,1,741,2921,-0.753,0.19,-0.943,-3.89,0.00011,0.0002,0.00087,True,True,False,-0.0239,-0.132,44,-0.3723,0.22755
rsi_oversold_bounce,1,112,3550,1.618,-0.052,1.67,2.46,0.01538,0.0036,0.00988,True,True,True,-0.0233,-0.129,22,1.2453,0.03259
atr_parabolic,-2,358,3304,-0.866,0.093,-0.959,-2.715,0.0069,0.0038,0.00988,True,True,True,-0.0203,-0.113,38,0.0946,0.81785
minervini_range_position,1,1890,1772,-0.248,0.263,-0.51,-2.636,0.00841,0.0086,0.01863,True,False,False,-0.0315,-0.152,44,0.3172,0.23196
stage4,-3,761,2901,0.4,-0.106,0.506,2.09,0.03681,0.03359,0.06239,False,False,False,0.0268,0.125,43,0.1799,0.5758
obv_bullish,1,244,3418,0.712,-0.052,0.764,1.852,0.06511,0.05399,0.08773,False,False,True,0.0209,0.114,43,0.54,0.16992
golden_cross,1,56,3606,0.248,-0.005,0.253,0.306,0.7611,0.75165,0.89335,False,False,True,0.0264,0.175,23,0.5594,0.48291
death_cross,-2,49,3613,-0.194,0.002,-0.196,-0.233,0.81649,0.82464,0.89335,False,False,True,-0.0048,-0.043,22,-0.4405,0.60828
trend_down,-3,406,3256,0.11,-0.015,0.125,0.406,0.68456,0.68806,0.89335,False,False,False,0.0066,0.033,40,-0.3962,0.30045
vix_stress,-2,486,3176,0.07,-0.011,0.081,0.239,0.81112,0.77764,0.89335,False,False,False,0.0938,0.25,5,-0.1127,0.69756
obv_bearish,-2,289,3373,-0.001,-0.001,0.0,0.0,0.99993,1.0,1.0,False,False,False,0.0254,0.151,41,0.2664,0.46268
