factor,current_points,n_triggered,n_not_triggered,mean_return_triggered_pct,mean_return_not_triggered_pct,mean_difference_pct,t_stat,p_value,permutation_p_value,permutation_p_value_bh,significant_at_1pct,significant_at_1pct_bh,directionally_consistent,mean_ic,ic_ir,n_ic_buckets,multivariate_coef_pct,multivariate_p_value
trend_up,2,920,2264,-0.909,0.343,-1.252,-5.739,0.0,0.0002,0.0012,True,True,False,-0.032,-0.146,41,-0.987,0.00075
stage2,2,1574,1610,-0.507,0.459,-0.966,-4.839,0.0,0.0002,0.0012,True,True,False,-0.0301,-0.136,42,-0.637,0.02762
adx_strong_trend,1,653,2531,-0.641,0.142,-0.783,-3.13,0.0018,0.0024,0.0096,True,True,False,-0.0167,-0.089,41,-0.2963,0.3496
minervini_range_position,1,1666,1518,-0.267,0.254,-0.522,-2.619,0.00885,0.009,0.02699,True,False,False,-0.05,-0.251,42,0.3341,0.22208
stage4,-3,652,2532,0.471,-0.145,0.615,2.488,0.01301,0.0154,0.03695,False,False,False,0.0481,0.228,41,0.2045,0.53679
atr_parabolic,-2,330,2854,-0.675,0.057,-0.732,-2.102,0.0362,0.02919,0.05839,False,False,True,-0.0147,-0.083,35,0.18,0.66563
rsi_oversold_bounce,1,65,3119,1.014,-0.04,1.054,1.734,0.08749,0.13897,0.23824,False,False,True,-0.0231,-0.146,20,0.5483,0.4445
trend_down,-3,329,2855,0.276,-0.053,0.328,1.001,0.31757,0.31694,0.43719,False,False,False,0.0222,0.113,37,-0.2777,0.48283
obv_bullish,1,219,2965,0.319,-0.044,0.363,0.9,0.36897,0.36433,0.43719,False,False,True,0.0131,0.07,40,0.1646,0.68103
golden_cross,1,53,3131,0.721,-0.031,0.752,0.923,0.36022,0.33373,0.43719,False,False,True,0.0272,0.173,22,1.0025,0.20395
death_cross,-2,38,3146,0.369,-0.023,0.392,0.41,0.68376,0.66687,0.72749,False,False,False,-0.0006,-0.006,20,-0.0207,0.98239
obv_bearish,-2,243,2941,0.035,-0.023,0.058,0.156,0.87625,0.88022,0.88022,False,False,False,0.0171,0.099,39,0.2909,0.44368
