factor,current_points,n_triggered,n_not_triggered,mean_return_triggered_pct,mean_return_not_triggered_pct,mean_difference_pct,t_stat,p_value,permutation_p_value,permutation_p_value_bh,significant_at_1pct,significant_at_1pct_bh,directionally_consistent,mean_ic,ic_ir,n_ic_buckets,multivariate_coef_pct,multivariate_p_value
trend_up,2,27314,69059,-0.192,0.076,-0.268,-9.662,0.0,0.0002,0.00027,True,True,False,-0.0347,-0.45,109,-0.1428,0.0003
trend_down,-3,9962,86411,0.586,-0.068,0.654,11.267,0.0,0.0002,0.00027,True,True,False,0.0312,0.411,109,0.5871,0.0
stage2,2,48426,47947,-0.082,0.083,-0.165,-6.014,0.0,0.0002,0.00027,True,True,False,-0.016,-0.174,109,0.0896,0.02499
stage4,-3,20852,75521,0.146,-0.04,0.187,4.752,0.0,0.0002,0.00027,True,True,False,0.011,0.148,109,-0.1681,0.00014
death_cross,-2,1443,94930,0.459,-0.007,0.466,3.093,0.00202,0.0002,0.00027,True,True,False,0.0083,0.22,107,0.0571,0.61955
adx_strong_trend,1,21168,75205,-0.235,0.066,-0.301,-9.897,0.0,0.0002,0.00027,True,True,False,-0.0313,-0.461,109,-0.137,0.00102
atr_parabolic,-2,10448,85925,-0.247,0.03,-0.277,-7.116,0.0,0.0002,0.00027,True,True,True,-0.0218,-0.321,109,0.0062,0.91019
rsi_oversold_bounce,1,1598,94775,0.711,-0.012,0.723,4.909,0.0,0.0002,0.00027,True,True,True,0.0178,0.336,105,0.5317,0.0
vix_stress,-2,6083,90290,1.213,-0.082,1.295,13.779,0.0,0.0002,0.00027,True,True,False,0.1757,0.922,23,1.0924,0.0
minervini_range_position,1,50491,45882,-0.085,0.093,-0.178,-6.449,0.0,0.0002,0.00027,True,True,False,-0.0125,-0.14,109,-0.0053,0.88605
market_below_sma200,-2,5070,91303,0.817,-0.045,0.863,10.907,0.0,0.0002,0.00027,True,True,False,0.1067,0.589,24,0.4083,0.0
obv_bullish,1,7088,89285,0.084,-0.007,0.09,1.711,0.08708,0.07838,0.09798,False,False,True,0.0018,0.033,109,-0.0103,0.84685
rsi_overbought_outside_strong_trend,-1,134,96239,-0.553,0.001,-0.554,-1.411,0.16051,0.13057,0.15066,False,False,True,-0.0162,-0.469,60,-0.3577,0.33143
golden_cross,1,1430,94943,0.129,-0.002,0.131,1.318,0.18778,0.24575,0.2633,False,False,True,0.0038,0.102,107,0.3051,0.00764
obv_bearish,-2,8407,87966,-0.038,0.004,-0.041,-0.914,0.36062,0.37992,0.37992,False,False,True,-0.0024,-0.057,109,0.056,0.25219
