factor,current_points,n_triggered,n_not_triggered,mean_return_triggered_pct,mean_return_not_triggered_pct,mean_difference_pct,t_stat,p_value,permutation_p_value,permutation_p_value_bh,significant_at_1pct,significant_at_1pct_bh,directionally_consistent,mean_ic,ic_ir,n_ic_buckets,multivariate_coef_pct,multivariate_p_value
atr_parabolic,-2,32,662,-2.096,0.732,-2.828,-1.784,0.08339,0.07119,0.4799,False,False,True,-0.1436,-0.577,5,-2.5043,0.16911
obv_bullish,1,40,654,2.773,0.469,2.305,1.476,0.14718,0.09598,0.4799,False,False,True,0.0496,0.257,8,2.3483,0.09674
rsi_oversold_bounce,1,50,644,1.916,0.499,1.417,1.015,0.31465,0.24715,0.82384,False,False,True,0.0007,0.002,6,1.5426,0.25399
trend_up,2,128,566,0.066,0.722,-0.656,-0.656,0.51249,0.43911,0.89439,False,False,False,0.1306,0.434,10,-0.2294,0.83747
obv_bearish,-2,59,635,0.017,0.656,-0.639,-0.855,0.39475,0.58068,0.89439,False,False,True,-0.0236,-0.122,7,-0.1652,0.88849
stage4,-3,168,526,0.884,0.511,0.373,0.492,0.62337,0.62607,0.89439,False,False,False,-0.0573,-0.162,11,0.3089,0.77475
minervini_range_position,1,320,374,0.349,0.817,-0.468,-0.716,0.47452,0.46591,0.89439,False,False,False,0.1335,0.33,11,-0.5911,0.5221
trend_down,-3,120,574,0.712,0.578,0.133,0.158,0.87475,0.88282,0.92062,False,False,False,-0.0704,-0.205,11,0.4341,0.72138
adx_strong_trend,1,116,578,0.462,0.629,-0.167,-0.145,0.88468,0.84603,0.92062,False,False,False,-0.0818,-0.59,8,0.9232,0.40921
stage2,2,274,420,0.563,0.626,-0.063,-0.091,0.92752,0.92062,0.92062,False,False,False,0.1622,0.442,11,0.6799,0.46698
